p2,p3,p0,p1,p6,p7,p4,p5,p8,p9,img,p10,p11
,,Lot 235 - G57 Wine ,6 bts Côtes de Castillon Clos Puy Arnaud  75cl  OWC6 2006,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102217/102217_l_1.jpg,€ 100 / 150 , 	 		 						 				 					Sold for CHF 100 						 					(hammer price) All information is subject to change. 				 			 		 	 	  
,,Lot 236 - G57 Wine ,6 bts Côtes de Castillon  Clos Puy Arnaud  75cl  OWC6 2006,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102225/102225_l_1.jpg,€ 100 / 150 , 	 		 						 				 					Sold for CHF 100 						 					(hammer price) All information is subject to change. 				 			 		 	 	  
,,Lot 237 - G57 Wine ,6 bts Côtes de Castillon Clos Puy Arnaud   75cl  OWC6 2005,,,,,,CHF 150 / 210 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102234/102234_l_1.jpg,€ 130 / 180 , 	 		 					 			 				Sold for CHF 150 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 238 - G57 Wine ,6 bts Côtes de Castillon Clos Puy Arnaud  75cl  OWC6 2005,,,,,,CHF 150 / 210 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102243/102243_l_1.jpg,€ 130 / 180 , 	 		 						 				 					Sold for CHF 130 						 					(hammer price) All information is subject to change. 				 			 		 	 	  
,,Lot 239 - G57 Wine ,6 bts Côtes de Castillon  Clos Puy Arnaud  75cl  OWC6 2005,,,,,,CHF 150 / 210 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102252/102252_l_1.jpg,€ 130 / 180 , 	 		 					 			 				Sold for CHF 138 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 240 - G57 Wine ,6 bts Côtes de Castillon  Clos Puy Arnaud  75cl  OWC6 2005,,,,,,CHF 150 / 210 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102261/102261_l_1.jpg,€ 130 / 180 , 	 		 						 				 					Sold for CHF 130 						 					(hammer price) All information is subject to change. 				 			 		 	 	  
,,Lot 352 - G57 Wine ,12 bts Pauillac Ch. Haut Bages Monpelou Cru Bourgeois   75cl   2005,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103238/103238_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 276 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 353 - G57 Wine ,12 bts Pauillac Ch. Haut Bages Monpelou Cru Bourgeois   75cl   2005,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103247/103247_l_1.jpg,€ 200 / 300 , 	 		 						 				 					Sold for CHF 220 						 					(hammer price) All information is subject to change. 				 			 		 	 	  
,,Lot 354 - G57 Wine ,12 bts Pauillac Ch. Haut Bages Monpelou Cru Bourgeois   75cl   2005,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103256/103256_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 355 - G57 Wine ,12 bts Pauillac Ch. Haut Bages Monpelou Cru Bourgeois   75cl   2005,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103265/103265_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 356 - G57 Wine ,12 bts Pauillac Ch. Haut Bages Monpelou Cru Bourgeois   75cl   2005,,,,,,CHF 240 / 360 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103274/103274_l_1.jpg,€ 200 / 300 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 359 - G57 Wine ,6 bts Pauillac Ch. Batailley 5ème Grand Cru Classé   75cl  OWC6 2009,,,,,,CHF 210 / 270 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103300/103300_l_1.jpg,€ 180 / 230 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 360 - G57 Wine ,6 bts Pauillac Ch. Batailley 5ème Grand Cru Classé   75cl  OWC6 2009,,,,,,CHF 210 / 270 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103309/103309_l_1.jpg,€ 180 / 230 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 361 - G57 Wine ,6 bts Pauillac Ch. Batailley 5ème Grand Cru Classé   75cl  OWC6 2009,,,,,,CHF 210 / 270 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103318/103318_l_1.jpg,€ 180 / 230 , 	 		 					 			 				Sold for CHF 253 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 362 - G57 Wine ,6 bts Pauillac Ch. Batailley 5ème Grand Cru Classé   75cl  OWC6 2009,,,,,,CHF 210 / 270 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103325/103325_l_1.jpg,€ 180 / 230 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 363 - G57 Wine ,6 bts Pauillac Ch. Batailley 5ème Grand Cru Classé   75cl  OWC6 2009,,,,,,CHF 210 / 270 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103334/103334_l_1.jpg,€ 180 / 230 , 	 		 					 			 				Sold for CHF 230 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 364 - G57 Wine ,6 bts Pauillac Ch. Batailley 5ème Grand Cru Classé   75cl  OWC6 2009,,,,,,CHF 210 / 270 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103343/103343_l_1.jpg,€ 180 / 230 , 	 		 					 			 				Sold for CHF 288 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 357 - G57 Wine ,6 bts Pauillac Ch. Croizet-Bages 5ème Grand Cru Classé   75cl  OWC6 2007,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103282/103282_l_1.jpg,€ 100 / 150 , 	 		 					 			 				Sold for CHF 115 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 358 - G57 Wine ,6 bts Pauillac Ch. Croizet-Bages 5ème Grand Cru Classé   75cl  OWC6 2007,,,,,,CHF 120 / 180 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/103291/103291_l_1.jpg,€ 100 / 150 , 	 		 					 			 				Sold for CHF 115 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 488 - G57 Wine ,12 bts Cornas JL Colombo Les Ruchets    75cl   2006,,,,,,CHF 480 / 720 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104408/104408_l_1.jpg,€ 400 / 600 , 	 		 					 			 				Sold for CHF 449 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 493 - G57 Wine ,6 bts Cornas JL Colombo Terres Brulées    75cl   2006,,,,,,CHF 180 / 240 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/104453/104453_l_1.jpg,€ 150 / 200 , 	 		 					 			 				Sold for CHF 178 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 290 - G57 Wine ,12 bts Saint-Julien Ch. Beychevelle 4ème Grand Cru Classé   75cl  OWC12 1978,,,,,,CHF 600 / 840 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102679/102679_l_1.jpg,€ 500 / 700 , 	 		 					 			 				Sold for CHF 483 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
,,Lot 300 - G57 Wine ,12 bts Saint-Julien Ch. Beychevelle 4ème Grand Cru Classé   75cl  OWC12 1989,,,,,,CHF 840 / 1 080 ,https://www.kollerauktionen.ch/CatCache/catcache.1/pictures/102768/102768_l_1.jpg,€ 700 / 900 , 	 		 					 			 				Sold for CHF 920 						 					(including buyer’s premium)  All information is subject to change. 				 			 		 	
